id,supplier_id,description,cost,status,purchase_date,received_date,notes,created_at,order_id,paid_amount,payment_method
bd73ff80-7a8d-47a3-b780-aff6cd429ad3,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-017 — camiseta centenario",50000.00,cancelado,"2026-06-23 00:00:00+00",,,"2026-06-23 02:09:49.637+00",98477d2b-b5c4-472e-b2ee-51f41bcb6ede,50000,efectivo
49bdece3-339f-4503-a8ac-ccf65596412c,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-014 — camiseta colombia hombre",50000.00,recogido,"2026-06-06 00:00:00+00",,,"2026-06-23 01:35:44.064+00",56031fc8-fa33-4c04-85f5-e3a79baaa98f,50000,efectivo
dd4d9be5-2f07-4e32-ab89-f10ec2dd85bd,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-015 — camiseta colombia",50000.00,recogido,"2026-06-23 00:00:00+00",,,"2026-06-23 01:52:16.896+00",6292afe0-15de-4f62-8ea9-6c2a6b344781,50000,efectivo
22c51a57-5b31-40cd-b716-1fa8aa8793f6,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-003 — Camiseta Colombia hombre",80000.00,cancelado,"2026-06-20 00:00:00+00",,,"2026-06-22 04:41:26.59+00",8fb34573-d964-4b80-9811-82cdbbfa372b,0,
ec318da9-928b-4fd6-bf3c-d1e6ff132e4c,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-003 — Camiseta Colombia hombre",80000.00,cancelado,"2026-06-20 00:00:00+00",,,"2026-06-22 05:01:14.907+00",8fb34573-d964-4b80-9811-82cdbbfa372b,0,
58867bb3-26bd-4888-a7c4-e100fc7541d2,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-002 — Camiseta Colombia mujer ",80000.00,pagado,"2026-06-20 00:00:00+00",,,"2026-06-22 04:28:28.952+00",e2a69f53-a98a-45c2-9838-9474a624415e,0,
379f2275-e776-4ede-a407-cb32bedb57b0,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-016 — camiseta colombia mujer ",50000.00,recogido,"2026-06-23 00:00:00+00",,,"2026-06-23 02:03:24.625+00",8b4aa40f-6a9c-428c-889e-e56e7325d732,50000,efectivo
86ba877d-8428-4077-9f00-a1697515496b,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-018 — camiseta centenario",50000.00,recogido,"2026-06-23 00:00:00+00",,,"2026-06-23 02:13:51.238+00",7bf50394-9f45-409e-be5c-1d8e1529f5b2,50000,efectivo
a9d1bde6-1291-4f9b-b7d2-59207627d06e,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-019 — camiseta colombia , camiseta colombia, camiseta colombia",150000.00,recogido,"2026-06-23 00:00:00+00",,,"2026-06-23 02:23:47.281+00",b5d6635d-292f-46a8-8d7b-df2934185061,150000,efectivo
fb7c9ab9-a643-4d62-8c2e-1fcfbf6387cf,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-020 — camiseta colombia",50000.00,recogido,"2026-06-23 00:00:00+00",,,"2026-06-23 02:43:43.429+00",bbe958b0-caab-47f0-86c4-3f79ba556f1a,50000,efectivo
c28d1b27-c9c6-4061-b6b6-1b7dda4375c5,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-025 — camiseta colombia hombre",58000.00,recogido,"2026-06-23 00:00:00+00",,,"2026-06-23 03:07:47.36+00",b275ddd5-b2d6-4bb4-87ce-18a19ea4d429,58000,efectivo
12d1ce22-1293-422a-904f-c43f6ffd897a,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-003 — Camiseta de colombia talla hombre ",80000.00,cancelado,"2026-06-20 00:00:00+00",,,"2026-06-22 04:34:47.736+00",8fb34573-d964-4b80-9811-82cdbbfa372b,0,
26523b60-bc89-47ca-9d7f-36920cfece9e,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-004 — Camiseta Colombia  de  hombre , Camiseta de colombia mujer",120000.00,recogido,"2026-06-21 00:00:00+00",,,"2026-06-22 05:19:02.904+00",b47f9bbe-90b1-4016-ab32-bea091c3a7ab,0,
fd69ce4c-b782-4cdf-8cc0-11378ce823b0,d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"JAS-003 — Camiseta Colombia hombre",80000.00,recogido,"2026-06-20 00:00:00+00",,,"2026-06-22 04:46:24.272+00",8fb34573-d964-4b80-9811-82cdbbfa372b,0,
6e9edb10-21ad-4e45-9794-cfd3ff78d47f,5041fd0f-5cbe-4934-abff-a96d0b1b7a6d,"JAS-013 — camiseta colombia dama ",50000.00,pagado,"2026-06-06 00:00:00+00",,,"2026-06-23 01:26:21.889+00",854993b5-f88c-4d71-9490-7a8d0bb3a7f9,50000,efectivo
0dee6bfd-53f5-42b2-a21f-62ac400c1b85,81d95c79-2aa5-4972-bbd1-2deee6c71a00,"JAS-022 — camibuso, camibuso, camiseta  hugo boss",185000.00,pagado,"2026-06-23 00:00:00+00",,,"2026-06-23 02:57:41.892+00",255281cc-9a81-46df-863c-cfd5cf90c551,185000,efectivo
