id,name,phone,address,products,notes,created_at,updated_at
985ca746-9674-4ddb-827f-c0d35a1731f3,Epifania,"","","","","2026-06-21 21:38:29+00","2026-06-21 21:38:29+00"
46637935-115f-4fa0-9567-bc27ea0f4b17,"Distribuciones D&G","","","","","2026-06-21 21:38:43+00","2026-06-21 21:38:43+00"
294c14e1-13fe-4c30-bb0d-27607944aec6,"JF Pijamas","","","","","2026-06-21 21:38:43+00","2026-06-21 21:38:43+00"
5af08775-61b5-46ae-9d45-feee2a49a294,"West Basic","","","","","2026-06-21 21:38:43+00","2026-06-21 21:38:43+00"
e69024e9-03e5-4865-b239-f4fa2d48a8d9,"Distribuidora Jeans KM","","","","","2026-06-21 21:38:43+00","2026-06-21 21:38:43+00"
d31c09ad-95b9-42d7-8d70-6a0bd78fce9f,"El Indio","","","","","2026-06-21 21:38:43+00","2026-06-21 21:38:43+00"
f13783c3-3f16-4b8c-8039-a617c7e1a1ce,"Bodega Edison","","","","","2026-06-21 21:38:43+00","2026-06-21 21:38:43+00"
5041fd0f-5cbe-4934-abff-a96d0b1b7a6d,Frankfurt,"","","","","2026-06-21 21:38:43+00","2026-06-21 21:38:43+00"
385fda1d-4857-47ce-9a7e-27f3cf942633,Adicta,"","","","","2026-06-21 21:38:43+00","2026-06-21 21:38:43+00"
a838a9f9-888f-45a1-8ca3-3eebc5caeaea,"Cely Fashion II","","","","","2026-06-21 21:38:43+00","2026-06-21 21:38:43+00"
a15ecc15-bbfb-4ff5-9f82-9ee98f62cf3e,"Estilo Único","","","","","2026-06-21 21:38:43+00","2026-06-21 21:38:43+00"
42970a3c-ec8a-47df-ab68-ca3a58660574,"Juan pablo perfumeria",3215420780,castilla,lociones,"perfumes 1.1","2026-06-21 22:05:53.311+00","2026-06-21 22:05:53.311+00"
0c3990e8-cd65-41ad-ae4b-bbf3331b2736,"Nice Closet","","","","","2026-06-21 21:38:43+00","2026-06-21 22:07:19.301+00"
81d95c79-2aa5-4972-bbd1-2deee6c71a00,"Urban Estore","","","","","2026-06-21 21:38:43+00","2026-06-21 22:07:36.638+00"
b4f4e118-abc5-44ab-9f6f-e57c2245e8a3,Athos,"",Guayabal,Cosméticos,"","2026-06-24 05:08:33.039+00","2026-06-24 05:08:33.039+00"
